## Python H20.ai Classification Models
Model Name | Model Description | Data Name | N | p | Logloss | RMSE | Accuracy
--- | --- | --- | --- | --- | --- | --- | ---
GBM | GBM w/ random hyperparameter search | abalone.data | 2912 | 8 | 3.739 | 0.839 | 0.775
RF | RF w/ early stopping | abalone.data | 2912 | 8 | 3.789 | 0.818 | 0.745
NN | NN w/ random hyperparameter search | abalone.data | 2912 | 8 | 2.168 | 0.861 | 0.793
GBM | GBM w/ random hyperparameter search | ad.data | 2295 | 1558 | 0.286 | 0.284 | 0.886
RF | RF w/ early stopping | ad.data | 2295 | 1558 | 1.306 | 0.719 | 0.152
NN | NN w/ random hyperparameter search | ad.data | 2295 | 1558 | 0.319 | 0.334 | 0.822
GBM | GBM w/ random hyperparameter search | adult.data | 22846 | 14 | 0.483 | 0.396 | 0.753
RF | RF w/ early stopping | adult.data | 22846 | 14 | 0.423 | 0.346 | 0.817
NN | NN w/ random hyperparameter search | adult.data | 22846 | 14 | 0.320 | 0.321 | 0.853
GBM | GBM w/ random hyperparameter search | agaricus-lepiota.data | 5706 | 22 | 1.166 | 0.675 | 0.363
RF | RF w/ early stopping | agaricus-lepiota.data | 5706 | 22 | 0.573 | 0.475 | 0.386
NN | NN w/ random hyperparameter search | agaricus-lepiota.data | 5706 | 22 | 0.613 | 0.485 | 0.349
GBM | GBM w/ random hyperparameter search | anneal.data | 549 | 38 | 0.837 | 0.556 | 0.193
RF | RF w/ early stopping | anneal.data | 549 | 38 | 0.036 | 0.091 | 0.000
NN | NN w/ random hyperparameter search | anneal.data | 549 | 38 | 0.162 | 0.211 | 0.060
GBM | GBM w/ random hyperparameter search | arrhythmia.data | 317 | 279 | 1.765 | 0.479 | 0.252
RF | RF w/ early stopping | arrhythmia.data | 317 | 279 | 2.598 | 0.557 | 0.289
NN | NN w/ random hyperparameter search | arrhythmia.data | 317 | 279 | 2.964 | 0.613 | 0.430
GBM | GBM w/ random hyperparameter search | audiology.standardized.data | 143 | 70 | 11.360 | 0.750 | 0.596
RF | RF w/ early stopping | audiology.standardized.data | 143 | 70 | 3.130 | 0.558 | 0.298
NN | NN w/ random hyperparameter search | audiology.standardized.data | 143 | 70 | 2.626 | 0.878 | 0.789
GBM | GBM w/ random hyperparameter search | backup-large.data | 213 | 35 | 0.621 | 0.459 | 0.053
RF | RF w/ early stopping | backup-large.data | 213 | 35 | 0.385 | 0.120 | 0.011
